id,value
id_0,27.2386023917
id_1,62.0349974017
id_2,20.1590091524
id_3,28.7115716641
id_4,9.86477417979
id_5,35.7012325048
id_6,39.1005476627
id_7,16.0782650631
id_8,47.4921671057
id_9,33.381707635
id_10,38.3983755404
id_11,58.841679386
id_12,37.0011089831
id_13,41.4361901059
id_14,26.9843593206
id_15,12.5757713697
id_16,52.6249240461
id_17,22.8252580436
id_18,19.1431398304
id_19,20.2039420585
id_20,15.0903792009
id_21,28.1408343959
id_22,37.5353249348
id_23,9.11360250287
id_24,57.441739202
id_25,44.3638520618
id_26,28.0036205644
id_27,8.9283854519
id_28,29.6463518556
id_29,35.8428391297
id_30,18.8185394439
id_31,12.1885849044
id_32,16.925205589
id_33,7.20779610473
id_34,18.2115711422
id_35,39.0371335584
id_36,19.090648323
id_37,28.0195322226
id_38,6.46612242228
id_39,59.8297000481
id_40,47.2181578515
id_41,16.4424762776
id_42,49.6414854201
id_43,18.4690196833
id_44,43.8273841622
id_45,50.9628866198
id_46,61.5507370745
id_47,40.1862580961
id_48,50.9270096845
id_49,41.971539657
id_50,30.2712582271
id_51,25.0774958316
id_52,41.250683142
id_53,25.7750811248
id_54,38.2118140349
id_55,39.9078893461
id_56,25.1532971729
id_57,21.883439912
id_58,37.3281239857
id_59,31.2392135469
id_60,14.9289801319
id_61,23.2304021404
id_62,31.1964194418
id_63,54.9230262566
id_64,49.2692754781
id_65,26.4923445293
id_66,41.4062237745
id_67,54.5345068146
id_68,27.945252443
id_69,38.7778121927
id_70,64.2108938404
id_71,52.907299831
id_72,43.5572769459
id_73,11.3745409616
id_74,12.6261923829
id_75,36.2411203129
id_76,60.9958296084
id_77,2.99276176364
id_78,44.6517818619
id_79,40.7672252505
id_80,8.15142303494
id_81,22.4427433781
id_82,7.49729136738
id_83,33.8423531045
id_84,10.9739910872
id_85,5.44806166948
id_86,15.9254845526
id_87,11.6378075492
id_88,13.1844298959
id_89,27.4853848452
id_90,30.431890009
id_91,11.0244070436
id_92,13.8463632684
id_93,7.6344539322
id_94,36.1693364007
id_95,16.1107782041
id_96,15.9329113227
id_97,8.90609528232
id_98,10.7632494478
id_99,3.94061419331
id_100,13.2642931545
id_101,18.6128435419
id_102,11.4131883989
id_103,5.73895130179
id_104,13.7022923506
id_105,37.0236280909
id_106,27.0963741733
id_107,8.180126794
id_108,16.6256357082
id_109,16.5893150397
id_110,14.3612374919
id_111,17.1440971117
id_112,13.6550221337
id_113,28.2771153971
id_114,22.3416142318
id_115,15.4148998845
id_116,9.32782583824
id_117,44.8445663881
id_118,29.0076648039
id_119,1.25118865145
id_120,2.29300001334
id_121,11.7271259125
id_122,16.1365352076
id_123,15.5443846372
id_124,6.67190153124
id_125,27.3081863047
id_126,21.9161472497
id_127,13.2948381525
id_128,19.9870448005
id_129,17.7409166537
id_130,3.88812254527
id_131,36.1179824041
id_132,14.5566929914
id_133,25.9684955777
id_134,23.3779292076
id_135,21.1052260592
id_136,10.2010868738
id_137,19.6394076519
id_138,77.7101219137
id_139,64.04162119
id_140,27.4462111071
id_141,17.3597933224
id_142,25.165620307
id_143,8.74190623952
id_144,11.5543117299
id_145,9.90492132855
id_146,21.3372526225
id_147,7.65016957248
id_148,14.0394821733
id_149,17.3178020338
id_150,51.4119767248
id_151,21.1364879131
id_152,24.4180437514
id_153,16.0123405051
id_154,14.5603956272
id_155,27.4882980882
id_156,21.7030301434
id_157,34.063754946
id_158,3.31999385011
id_159,20.002202687
id_160,44.0306556964
id_161,18.8833663642
id_162,55.5815564232
id_163,19.8453639492
id_164,37.1055860051
id_165,24.749243533
id_166,20.9103671001
id_167,1.42988028506
id_168,66.8061482505
id_169,17.6443761584
id_170,18.0351754642
id_171,68.5881445375
id_172,21.0769207738
id_173,2.59335082177
id_174,22.9956239018
id_175,2.43359867687
id_176,6.5573441318
id_177,18.5233244596
id_178,20.7497041033
id_179,21.0414191151
id_180,42.9776233321
id_181,27.3529590519
id_182,28.5625156174
id_183,12.6069820604
id_184,8.68250152014
id_185,41.616278297
id_186,37.3241005376
id_187,33.2444761713
id_188,16.3717699665
id_189,22.3382246833
id_190,14.9811993223
id_191,14.6475886885
id_192,33.2896011868
id_193,77.5753641389
id_194,29.6245732501
id_195,11.8518046698
id_196,61.3450076562
id_197,15.4360777071
id_198,19.4649136845
id_199,23.3519403683
id_200,125.873217189
id_201,26.3191181282
id_202,59.1698559586
id_203,4.65136692242
id_204,62.2225637349
id_205,35.5786997832
id_206,17.3667388988
id_207,14.2106023908
id_208,64.2079821942
id_209,13.9729598372
id_210,29.7162831234
id_211,71.9482646139
id_212,20.6141768749
id_213,117.335211249
id_214,40.0104957632
id_215,82.5231871119
id_216,93.0563940837
id_217,70.4072601594
id_218,29.2194058318
id_219,18.5459822329
id_220,31.3845403441
id_221,54.5683561947
id_222,28.3735542704
id_223,40.4711738569
id_224,43.743146109
id_225,8.14414656215
id_226,4.19093144863
id_227,69.8700756292
id_228,28.3462033085
id_229,1.5749147505
id_230,39.400629894
id_231,15.3138217802
id_232,21.4554943583
id_233,8.30620057247
id_234,11.5301834739
id_235,22.1023151745
id_236,12.7684243816
id_237,0.0402967273723
id_238,21.6879705616
id_239,1.33057756995
